Date,Gold,Platinium,Palladium,Silver
6/27/2022 0:00,55949.61,27650.29,61694.55,616.92
7/7/2022 0:00,54913.72,27443.88,58926.45,601.93
7/17/2022 0:00,55237.15,28239.93,64996.19,600.47
7/27/2022 0:00,57079.39,30132.32,68424.83,639.81
8/6/2022 0:00,57183.16,30036.35,69114.3,651.05
8/16/2022 0:00,56471.98,28457.11,69097.74,617.2
8/26/2022 0:00,54914.92,26887.99,65021.19,577.12
9/5/2022 0:00,54580.55,29241.1,69493.68,631.83
9/15/2022 0:00,52861.29,27606.88,66643.92,606.51
9/25/2022 0:00,55481.34,30077.99,74537.49,675.83
10/5/2022 0:00,52870.86,29058.57,64325.61,588.17
10/15/2022 0:00,53107.09,29899.39,63789.97,620.6
10/25/2022 0:00,52401.94,29592.75,57959.76,625.52
11/4/2022 0:00,56699.77,33222.33,65290.77,694.18
11/14/2022 0:00,56339.92,32235.95,60739.27,693.93
11/24/2022 0:00,57799.09,32828.32,61062.31,744.08
12/4/2022 0:00,58183.53,33233.26,62042.9,761.87
12/14/2022 0:00,57808.89,32946.8,56387.02,763.64
12/24/2022 0:00,58819.87,34541.07,57980.5,774.91
1/3/2023 0:00,61024.37,34493.73,57810.98,765.46
1/13/2023 0:00,61965.9,33642.54,55938.28,772.11
1/23/2023 0:00,62794.75,32543.79,53867.77,773.41
2/2/2023 0:00,59982.92,30488.31,49566.89,707.79
2/12/2023 0:00,59017.6,30472.16,49108.34,702.88
2/22/2023 0:00,59690.43,31582.96,46858.51,683.78
3/4/2023 0:00,61478.18,32162.48,47331.53,700.63
3/14/2023 0:00,64025.4,31778.12,46023.79,740.99
3/24/2023 0:00,62924.88,31717.52,46749.6,766.29
4/3/2023 0:00,64888.49,32873.5,47264.01,821.07
4/13/2023 0:00,63760.8,36257.36,51535.07,806.72
4/23/2023 0:00,64815.99,34293.75,46217.5,815.72
5/3/2023 0:00,64652.74,33884.31,48587.66,770.65
5/13/2023 0:00,63333.03,34376.06,47842.56,758.7
5/23/2023 0:00,63565.72,32444.93,45033.55,767.64
6/2/2023 0:00,63014.34,32504.4,42364.56,779.74
6/12/2023 0:00,62177.45,30483.09,43443.7,730.3
6/22/2023 0:00,61723,29139.51,39567.92,732.06
7/2/2023 0:00,62159.05,29883.72,40267.2,743.75
7/12/2023 0:00,63073.33,30999.75,41699.52,791.23
7/22/2023 0:00,63144.23,30676.63,41340.88,795.38
8/1/2023 0:00,61487.1,29268.59,41541.66,729.36
8/11/2023 0:00,60760.41,29451.69,40535.66,733.05
8/21/2023 0:00,62510.05,31478.8,39677.8,791.62
8/31/2023 0:00,61694.07,28844.04,38531.06,736.98
9/10/2023 0:00,62098.93,30334.23,40651.4,746.06
9/20/2023 0:00,59434.59,29211.53,40136.99,713.19
9/30/2023 0:00,59884.7,28690.04,36844.76,704.28
10/10/2023 0:00,63568.78,28782.96,35886.66,741.56
10/20/2023 0:00,64391.68,29139.51,36161.39,741.35
10/30/2023 0:00,62722.81,28129.41,34023.85,724.98
11/9/2023 0:00,63686.13,29031.32,33956.98,762.67
11/19/2023 0:00,65732.2,30380.53,34062.11,806.52
11/29/2023 0:00,64450.03,29634.95,30269.12,739.37
12/9/2023 0:00,65192.23,30567.32,38090.47,765.66
12/19/2023 0:00,66448.84,32298.64,36429.49,769.62
12/29/2023 0:00,65732.44,30916.16,33137.77,743.24
1/8/2024 0:00,64614.72,28597.93,29490.11,726.59
1/18/2024 0:00,64894.19,29489.71,30876.13,732.9
1/28/2024 0:00,65435.77,29138.22,30500.61,720.47
2/7/2024 0:00,64732.31,29225.11,30592.32,753.15
2/17/2024 0:00,65310.79,28356.15,30734.51,723.7
2/27/2024 0:00,69512,29606.02,33398.68,784.29
3/8/2024 0:00,69338.71,30140.6,34675.87,807.71
3/18/2024 0:00,70436.58,28873.14,31806.49,789.66
3/28/2024 0:00,74916.54,29954.21,32413.58,884.17
4/7/2024 0:00,76600.2,30912.86,32726.24,905.9
4/17/2024 0:00,75169.17,29518.08,30903.46,875.21
4/27/2024 0:00,74785.21,30842.53,31604.18,882.7
5/7/2024 0:00,76452.87,34218.04,31887.11,954.09
5/17/2024 0:00,75145.38,33217.91,31215.96,981.18
5/27/2024 0:00,75719.35,32181.29,30099.37,964.95
6/6/2024 0:00,74149.11,31383.95,29546.7,955.68
